State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min Price,Max Price,Modal Price,Commodity_Code,Date,Arrival Quantity
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,05/02/2016,4200,4400,4300,15,2016-02-05,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,05/02/2016,4300,4400,4350,15,2016-02-05,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,06/02/2016,4300,4400,4350,15,2016-02-06,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,07/02/2016,4300,4400,4350,15,2016-02-07,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,08/02/2016,4150,4300,4200,15,2016-02-08,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,08/02/2016,4300,4400,4350,15,2016-02-08,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,09/02/2016,4350,4400,4350,15,2016-02-09,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,09/02/2016,4155,4250,4200,15,2016-02-09,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,10/02/2016,4300,4400,4350,15,2016-02-10,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,10/02/2016,4150,4300,4200,15,2016-02-10,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,11/02/2016,4300,4450,4300,15,2016-02-11,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,11/02/2016,4140,4300,4200,15,2016-02-11,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,12/02/2016,4200,4350,4200,15,2016-02-12,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,12/02/2016,4150,4250,4200,15,2016-02-12,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,13/02/2016,4200,4300,4200,15,2016-02-13,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,14/02/2016,4200,4350,4300,15,2016-02-14,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,15/02/2016,4100,4250,4200,15,2016-02-15,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,15/02/2016,4200,4350,4300,15,2016-02-15,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,16/02/2016,4150,4250,4225,15,2016-02-16,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,16/02/2016,4300,4375,4300,15,2016-02-16,100
